Keyword,Specificity,Frequency
salmon,1,258
chinook,1,36
sockeye,1,17
coho,1,25
chum,1,11
aquaculture,2,113
finfish,2,32
hatchery,2,24
pond,2,24
drought,3,3
flood,3,39
landslide,3,9
sea-level,3,2
temperature,3,148
angler,2,39
angling,2,139
fishery,2,319
fishing,2,1034
net,2,271
seine,2,44
trawl,2,160
disease,2,114
invasive,3,65
non-native,3,2
leaching,3,5
leakage,3,36
nutrient,3,64
septic,3,17
sewage,3,86
spill,3,253
tailings,3,15
toxic,3,283
biodiversity,4,40
endangered,4,64
listed,4,270
threatened,4,41
aqueduct,3,3
bridge,3,103
culvert,3,60
dam,3,318
dike,3,48
groundwater,3,120
lake,3,334
levee,3,1
water,3,2834
reservoir,3,46
riparian,3,109
river,3,251
stream,3,598
water,3,2834
wetland,3,40
bait,3,11
corkline,3,11
creek,3,15
fish,2,169
fishwheel,3,13
kokanee,1,7
lakes,3,14
mesh,3,12
purse,3,23
